text,Label
"Our oils read; President IS taking different tactics to deal with a corrupt malignant, hipoctitical , one way press!
Idiots forget what witnessed them doing during the last election process.",1
The profoundly stupid have spoken.,1
The ignorance and bigotry comes from your post!,1
"An ""abject lesson"" is a lesson that is painful or humiliating. ""Object"" on the other hand is a noun--it is not even an adjective, it is not a descriptor of any kind per se. It is entertaining though, to see a semi-literate boob getting advice from another semi-literate boob.",1
"Right on the money Gary Crum. And if they hide behind the anonymity of masks and the mob, they're cowards to boot.",1
"Hey Dallas, Don't let the Iditarod get the best of you. Do the 2018 race. Yes, the ITC is a bunch of malicious idiots. But they will all retire/die soon, long before your career is even half over. They can't charge you with anything because of the way the rules are for 2017 (the ITC has to prove intent, but they can't). So get back to training your dogs, win the 2018 race ... and give the senile geezers of the ITC the finger.",1
I can't believe this country was so stupid.. -totally dumbstruck- you get what you get and don't throw a fit!,1
Somebody needs to dig up the Peterson's back yard! What other evil deeds did Monster Mom hide to protect her killer sons? Lock her up too.,1
"Only in America can you get 25 likes for admitting you are pathetic. But seriously financial destitution is a pretty common thing in a state where booms and busts happen with great regularity. The weird thing is an occasional bust might not be such a bad thing, If Alaska became the ""Land of Milk and Honey""
everyone would want to live here. A huge influx of people would slowly destroy the wilderness that keeps many of us here. But perhaps more importantly with the pressures bust's produce comes innovation and a role up your sleeves attitude which often leads to prosperity of the soul if not the pocketbook. The pathetic thing is when people get too comfortable they get lazy and complacent. This can happen to individuals and even to the things humans create like pipelines, legislative bodies or permanent funds. We live in chaotic times but we might end up better for it with some time out to think.",1
"""Just saw headlines on a couple of sites where Pres. Elect Trump is saying again that the election was rigged and that he would otherwise have also won the popular vote.""

I saw those stories as well. I've come across sore losers before, but Trump seems to be a sore winner.",1
"Who cares? In all seriousness she, as with all Trudeau ministers , will be shuffled. Why? Simple, they're inexperienced in the field and well.... useless in every sense of the term. How can anyone think a lawyer would make a good environmental minster. In the end we the taxpayer have to deal with the mistakes of these incompetents.",1
"If a News person dies for ratings are we suppose to cry or cheer ?
Get away from the storm you idiots!!!!!!!!!!!",1
"You know? I've been listening to your silliness for a couple of years. All of your buzz-words; ""beak dipping"" ""Kool-aid"" and I haven't heard anything of substance. When was the last time YOU made a decision that benefitted some people and had the possibility of harming others? When was the last time you actually did anything? Did you even go out and run this morning? Did you say ""Hi"" to your neighbor? Think not. You were up at 0100 waiting to spew venom. Suggestion: Try getting a real life.",1
Trump doesn't need no damn intelligence...he's already smart! Said so himself.,1
